"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11800,"BKN@HOU 11/27/2017 08:00PM ET",57.013,"HOU"
"SF/PF","LeBron James",11400,"CLE@PHI 11/27/2017 07:00PM ET",55.974,"CLE"
"C","Joel Embiid",10400,"CLE@PHI 11/27/2017 07:00PM ET",45.609,"PHI"
"PG/SF","Ben Simmons",10000,"CLE@PHI 11/27/2017 07:00PM ET",46.721,"PHI"
"PG/SG","Stephen Curry",9800,"SAC@GS 11/27/2017 10:30PM ET",46.355,"GS"
"SF/PF","Kevin Durant",9500,"SAC@GS 11/27/2017 10:30PM ET",45.719,"GS"
"PF/C","Blake Griffin",9000,"LAL@LAC 11/27/2017 10:30PM ET",43.403,"LAC"
"PG","Damian Lillard",8800,"POR@NY 11/27/2017 07:30PM ET",44.513,"POR"
"C","Andre Drummond",8400,"DET@BOS 11/27/2017 07:30PM ET",42.458,"DET"
"PF/C","Kristaps Porzingis",8300,"POR@NY 11/27/2017 07:30PM ET",43.647,"NY"
"PG","Kyrie Irving",8200,"DET@BOS 11/27/2017 07:30PM ET",38.675,"BOS"
"SF/PF","Kawhi Leonard",8200,"DAL@SA 11/27/2017 08:30PM ET",0,"SA"
"PG/SG","Victor Oladipo",8000,"ORL@IND 11/27/2017 07:00PM ET",39.276,"IND"
"PG/SG","Chris Paul",7900,"BKN@HOU 11/27/2017 08:00PM ET",38.400,"HOU"
"PF/C","LaMarcus Aldridge",7700,"DAL@SA 11/27/2017 08:30PM ET",38.947,"SA"
"PF/C","Kevin Love",7500,"CLE@PHI 11/27/2017 07:00PM ET",37.053,"CLE"
"SF/PF","Aaron Gordon",7400,"ORL@IND 11/27/2017 07:00PM ET",34.528,"ORL"
"C","Nikola Vucevic",7300,"ORL@IND 11/27/2017 07:00PM ET",35.613,"ORL"
"PG/SG","Spencer Dinwiddie",7300,"BKN@HOU 11/27/2017 08:00PM ET",26.079,"BKN"
"PG","D'Angelo Russell",7200,"BKN@HOU 11/27/2017 08:00PM ET",36.458,"BKN"
"PF/C","Draymond Green",7100,"SAC@GS 11/27/2017 10:30PM ET",34.079,"GS"
"PG","Lonzo Ball",7100,"LAL@LAC 11/27/2017 10:30PM ET",33.487,"LAL"
