"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22006-12362","C","DeMarcus","DeMarcus Cousins","Cousins","57.8","15","11600","NO@DEN","NO","DEN","","","",""
"22006-9488","SF","LeBron","LeBron James","James","53.166666666666664","15","11400","LAC@CLE","CLE","LAC","","","",""
"22006-15755","PF","Anthony","Anthony Davis","Davis","52.392857142857146","14","11000","NO@DEN","NO","DEN","","","",""
"22006-9642","PG","Russell","Russell Westbrook","Westbrook","46.057141985212056","14","10000","OKC@SA","OKC","SA","","","",""
"22006-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","42.56428745814732","14","9900","MIN@DAL","MIN","DAL","","","",""
"22006-12332","PG","John","John Wall","Wall","43.75384521484375","13","9700","MIA@WAS","WAS","MIA","","","",""
"22006-20848","PG","Damian","Damian Lillard","Lillard","43.628570556640625","14","9500","POR@SAC","POR","SAC","","","",""
"22006-55062","C","Nikola","Nikola Jokic","Jokic","41.81428745814732","14","9300","NO@DEN","DEN","NO","","","",""
"22006-15557","C","Andre","Andre Drummond","Drummond","42.58571515764509","14","9100","DET@IND","DET","IND","","","",""
"22006-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","45.03846153846154","13","9000","NY@TOR","NY","TOR","","","",""
"22006-12363","C","Hassan","Hassan Whiteside","Whiteside","40","9","8800","MIA@WAS","MIA","WAS","","","",""
"22006-40203","C","Rudy","Rudy Gobert","Gobert","35.55833435058594","12","8800","UTA@BKN","UTA","BKN","O","Knee","",""
"22006-9560","PF","Blake","Blake Griffin","Griffin","40.20769324669471","13","8600","LAC@CLE","LAC","CLE","","","",""
"22006-12341","SF","Paul","Paul George","George","38.17143031529018","14","8500","OKC@SA","OKC","SA","","","",""
"22006-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","40.13333333333333","15","8300","OKC@SA","SA","OKC","","","",""
"22006-14507","PG","Kemba","Kemba Walker","Walker","36.32307786207933","13","8000","CHA@CHI","CHA","CHI","","","",""
"22006-14513","SF","Kawhi","Kawhi Leonard","Leonard","43.2972972972973","74","8000","OKC@SA","SA","OKC","O","Quadriceps","",""
"22006-14528","SF","Jimmy","Jimmy Butler","Butler","32.30833435058594","12","8000","MIN@DAL","MIN","DAL","","","",""
"22006-9535","PG","Kyle","Kyle Lowry","Lowry","31.128570556640625","14","8000","NY@TOR","TOR","NY","","","",""
"22006-9714","SG","DeMar","DeMar DeRozan","DeRozan","37.42143031529018","14","8000","NY@TOR","TOR","NY","","","",""
"22006-58253","C","Myles","Myles Turner","Turner","33.42499923706055","8","7800","DET@IND","IND","DET","","","",""
"22006-15595","SG","Bradley","Bradley Beal","Beal","37.09285627092634","14","7700","MIA@WAS","WAS","MIA","","","",""
"22006-55057","C","Jusuf","Jusuf Nurkic","Nurkic","29.08571515764509","14","7700","POR@SAC","POR","SAC","","","",""
"22006-15684","SG","Victor","Victor Oladipo","Oladipo","36.880000813802084","15","7700","DET@IND","IND","DET","","","",""
"22006-9662","SG","Lou","Lou Williams","Williams","27.03076876126803","13","7700","LAC@CLE","LAC","CLE","","","",""
"22006-58460","SG","Devin","Devin Booker","Booker","34.95624923706055","16","7600","PHO@LAL","PHO","LAL","","","",""
"22006-23120","SF","TJ","TJ Warren","Warren","30.381250381469727","16","7500","PHO@LAL","PHO","LAL","","","",""
"22006-9874","C","Kevin","Kevin Love","Love","34.44666748046875","15","7400","LAC@CLE","CLE","LAC","","","",""
"22006-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","28.107691838191105","13","7400","UTA@BKN","BKN","UTA","","","",""
"22006-80806","PG","Lonzo","Lonzo Ball","Ball","31.15333251953125","15","7400","PHO@LAL","LAL","PHO","","","",""
"22006-9660","C","Dwight","Dwight Howard","Howard","31.838461068960335","13","7400","CHA@CHI","CHA","CHI","","","",""
"22006-19067","SG","CJ","CJ McCollum","McCollum","33.85384662334736","13","7300","POR@SAC","POR","SAC","","","",""
"22006-9729","PF","Paul","Paul Millsap","Millsap","32.378570556640625","14","7200","NO@DEN","DEN","NO","","","",""
"22006-15946","SF","Harrison","Harrison Barnes","Barnes","30.559999593098958","15","7200","MIN@DAL","DAL","MIN","","","",""
"22006-14496","PG","Ricky","Ricky Rubio","Rubio","28.4","15","7000","UTA@BKN","UTA","BKN","GTD","Achilles","",""
"22006-9561","C","DeAndre","DeAndre Jordan","Jordan","29.869229830228367","13","7000","LAC@CLE","LAC","CLE","","","",""
"22006-58312","SG","D'Angelo","D'Angelo Russell","Russell","34.51666768391927","12","7000","UTA@BKN","BKN","UTA","O","Knee","",""
"22006-15628","PF","Otto","Otto Porter Jr.","Porter Jr.","34.14615337665264","13","6900","MIA@WAS","WAS","MIA","","","",""
