,Team,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Aaron Gordon,ORL,21968-41594,PF,Aaron,Gordon,34.58333333,12,7300,ORL@POR,POR,,,228.694818501,0.151220449841,102.75,109.8,0.935792349727,32.504795082,1.7,18.3,0.83,7.9,2.3,0.83,32.504795082,224.582249529
Amir Johnson,PHI,21968-9862,PF,Amir,Johnson,15.13333384,12,3100,PHI@LAL,LAL,,,237.39966871,0.0637462298167,111.25,108.0,1.03009259259,15.4419444444,0.8,4.8,0.5,5.3,0.8,0.67,15.4419444444,200.751920275
Andre Drummond,DET,21968-15557,C,Andre,Drummond,42.90769137,13,9400,DET@MIL,MIL,,,250.637561554,0.171194178175,102.0,106.5,0.957746478873,41.1573239437,2.8,13.7,1.15,15.6,3.2,1.62,41.1573239437,228.391914228
Andrew Wiggins,MIN,21968-49116,SG,Andrew,Wiggins,30.45384568,13,6200,SA@MIN,SA,,,220.176456758,0.1383156316,107.25,108.8,0.985753676471,30.0027849265,2.1,19.5,0.46,4.4,1.6,1.31,30.0027849265,206.647483398
Anthony Davis,NO,21968-15755,PF,Anthony,Davis,53.61538462,13,11300,TOR@NO,TOR,,,231.508290583,0.231591639699,110.25,107.4,1.02653631285,54.8575837989,2.3,26.2,2.23,11.9,3.1,1.38,54.8575837989,205.987927602
Ben Simmons,PHI,21968-66115,PF,Ben,Simmons,43.69230769,13,9800,PHI@LAL,LAL,,,237.39966871,0.184045360836,111.25,108.0,1.03009259259,44.876412037,3.8,17.8,0.77,9.2,7.5,1.69,44.876412037,218.377529645
Bobby Portis,CHI,21968-42156,PF,Bobby,Portis,33.83333333,3,5300,CHI@OKC,OKC,,,200.471067951,0.168769157943,0.0,93.6,0.0,-1.01,2.0,19.3,0.0,10.0,2.3,0.33,-1.01,-5247.52475248
Bogdan Bogdanovic,SAC,21968-55060,SG,Bogdan,Bogdanovic,18.38000031,10,3600,SAC@ATL,ATL,,,218.718453321,0.084034977529,100.5,94.6,1.06236786469,19.4230443975,1.1,9.4,0.6,2.5,1.6,1.0,19.4230443975,185.346845033
Bojan Bogdanovic,IND,21968-14530,SF,Bojan,Bogdanovic,20.30714199,14,4400,IND@MEM,MEM,,,246.002848607,0.0825484017969,102.25,108.0,0.946759259259,19.2864814815,1.4,13.3,0.07,3.5,1.4,0.64,19.2864814815,228.139072657
Brandan Wright,MEM,21968-9935,C,Brandan,Wright,15.65384615,13,3200,IND@MEM,IND,,,202.228179269,0.0774068490681,106.75,101.2,1.05484189723,16.1920355731,0.2,6.0,1.08,3.8,0.4,0.46,16.1920355731,197.628024318
