,Team,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Unnamed: 13,Unnamed: 14,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Abdel Nader,BOS,21976-19726,SG,Abdel,Nader,4.16249990463,8,3100,GS@BOS,GS,,,,,248.757223791,0.0167331820206,104.5,102.7,1.01752677702,4.22169425511,0.5,1.6,0.13,1.1,0.4,0.25,4.22169425511,734.302347037
Al Horford,BOS,21976-9453,C,Al,Horford,34.1923076923,13,7500,GS@BOS,GS,,,,,248.757223791,0.137452521664,104.5,102.7,1.01752677702,34.6115481986,2.5,15.3,0.62,8.8,4.5,0.69,34.6115481986,216.690682455
Andre Iguodala,GS,21976-9664,SF,Andre,Iguodala,17.058333079,12,4000,GS@BOS,BOS,,,,,243.158293671,0.0701532027613,112.0,119.6,0.936454849498,16.2421070234,0.5,5.1,0.5,3.4,3.3,0.67,16.2421070234,246.273466505
Aron Baynes,BOS,21976-37931,C,Aron,Baynes,16.9466664632,15,3400,GS@BOS,GS,,,,,248.757223791,0.0681253239804,104.5,102.7,1.01752677702,17.1557156767,0.9,6.1,0.8,5.7,1.1,0.27,17.1557156767,198.184678743
Bobby Brown,HOU,21976-74101,PG,Bobby,Brown,5.05,10,3000,HOU@PHO,PHO,,,,,282.894714235,0.0178511642173,120.25,111.2,1.08138489209,5.46913219424,0.7,3.5,0.0,0.5,0.7,0.2,5.46913219424,548.533093268
Chris Paul,HOU,21976-9623,PG,Chris,Paul,38.0999984741,1,8900,HOU@PHO,PHO,,,,,282.894714235,0.134679075136,120.25,111.2,1.08138489209,38.9276079137,1.0,4.0,1.0,8.0,10.0,2.0,38.9276079137,228.629511984
Clint Capela,HOU,21976-55059,C,Clint,Capela,35.2600016276,15,7400,HOU@PHO,PHO,,,,,282.894714235,0.124640015714,120.25,111.2,1.08138489209,37.6779541367,1.5,13.1,1.73,11.5,1.3,0.93,37.6779541367,196.401321928
Daniel Theis,BOS,21976-81529,PF,Daniel,Theis,13.3285718645,14,3500,GS@BOS,GS,,,,,248.757223791,0.053580642449,104.5,102.7,1.01752677702,13.4575365141,1.3,4.7,0.93,4.5,0.4,0.36,13.4575365141,260.077317741
David West,GS,21976-9629,PF,David,West,17.2153848501,13,4100,GS@BOS,BOS,,,,,243.158293671,0.0707990856088,112.0,119.6,0.936454849498,16.2752173913,1.5,6.5,1.38,3.0,1.5,0.69,16.2752173913,251.916757941
Demetrius Jackson,HOU,21976-41269,PG,Demetrius,Jackson,3.06363643299,11,3000,HOU@PHO,PHO,,,,,282.894714235,0.0108295994193,120.25,111.2,1.08138489209,3.31566996403,0.9,0.7,0.09,1.0,0.5,0.36,3.31566996403,904.794515904
