,Team,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Unnamed: 12,Unnamed: 13,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Andre Drummond,DET,C,Andre,Drummond,42.5857151576,14,9100,DET@IND,IND,,,,,237.771489343,0.17910353876,104.0,105.7,0.983916745506,41.9267171239,2.9,13.6,1.07,15.8,3.3,1.57,41.9267171239,217.04537403
Andrew Wiggins,MIN,SG,Andrew,Wiggins,29.5571419852,14,6200,MIN@DAL,DAL,,,,,221.173053773,0.133638078785,109.5,108.0,1.01388888889,29.8779166667,1.9,18.9,0.43,4.2,1.7,1.21,29.8779166667,207.511121648
Anthony Davis,NO,PF,Anthony,Davis,52.3928571429,14,11000,NO@DEN,DEN,,,,,238.641148122,0.219546618658,108.0,108.0,1.0,52.25,2.3,25.6,2.14,11.4,2.9,1.5,52.25,210.526315789
Anthony Tolliver,DET,PF,Anthony,Tolliver,15.2636358088,11,3600,DET@IND,IND,,,,,237.771489343,0.0641945586115,104.0,105.7,0.983916745506,15.146064333,0.6,7.1,0.45,2.9,1.4,0.64,15.146064333,237.685508317
Austin Rivers,LAC,SG,Austin,Rivers,23.2769235464,13,5300,LAC@CLE,CLE,,,,,185.437435986,0.125524403541,108.0,107.2,1.00746268657,23.451119403,1.6,13.3,0.08,1.8,2.3,1.92,23.451119403,226.002004805
Avery Bradley,DET,SG,Avery,Bradley,26.7357134138,14,6300,DET@IND,IND,,,,,237.771489343,0.112442889968,104.0,105.7,0.983916745506,26.208051088,2.9,17.8,0.21,3.1,1.9,1.5,26.208051088,240.384146797
Blake Griffin,LAC,PF,Blake,Griffin,40.2076932467,13,8600,LAC@CLE,CLE,,,,,185.437435986,0.216826192795,108.0,107.2,1.00746268657,40.3848507463,2.9,23.1,0.31,7.8,4.7,0.85,40.3848507463,212.951139873
Bobby Portis,CHI,PF,Bobby,Portis,30.0750007629,4,5000,CHA@CHI,CHA,,,,,227.81729755,0.132013684151,96.0,92.4,1.03896103896,31.4181818182,2.3,15.8,0.25,9.8,2.3,0.25,31.4181818182,159.143518519
Bogdan Bogdanovic,SAC,SG,Bogdan,Bogdanovic,17.4727269953,11,3400,POR@SAC,POR,,,,,216.209448404,0.0808138919193,96.0,93.6,1.02564102564,18.1005128205,1.1,9.2,0.55,2.5,1.5,0.91,18.1005128205,187.839981868
Bojan Bogdanovic,IND,SF,Bojan,Bogdanovic,20.2933329264,15,4400,DET@IND,DET,,,,,245.871457778,0.0825363509446,105.5,108.5,0.972350230415,19.8166820276,1.3,13.5,0.07,3.5,1.3,0.6,19.8166820276,222.03515169
Brandon Ingram,LAL,SF,Brandon,Ingram,27.3733337402,15,6200,PHO@LAL,PHO,,,,,226.965305632,0.120605806531,117.25,103.7,1.13066538091,30.5565284474,2.2,14.7,0.67,5.2,2.4,1.0,30.5565284474,202.902630469
Brook Lopez,LAL,C,Brook,Lopez,27.3199991862,15,5800,PHO@LAL,PHO,,,,,226.965305632,0.120370816633,117.25,103.7,1.13066538091,30.2683172613,1.8,14.8,1.6,4.6,1.7,0.47,30.2683172613,191.619505965
Buddy Hield,SAC,SG,Buddy,Hield,22.7785709926,14,4500,POR@SAC,POR,,,,,216.209448404,0.105354188546,96.0,93.6,1.02564102564,23.2335897436,1.6,11.9,0.14,4.4,1.9,1.29,23.2335897436,193.685093421
CJ McCollum,POR,SG,CJ,McCollum,33.8538466233,13,7300,POR@SAC,SAC,,,,,226.508845723,0.149459269528,103.0,104.6,0.984703632887,33.2732122371,1.8,22.5,0.31,4.1,2.5,1.15,33.2732122371,219.395709317
CJ Miles,TOR,SF,CJ,Miles,16.2000004695,13,4000,NY@TOR,NY,,,,,208.770890494,0.0775970272059,113.25,111.4,1.01660682226,16.3781777379,0.8,10.2,0.38,2.2,0.6,0.69,16.3781777379,244.227414308
Caris LeVert,BKN,SG,Caris,LeVert,21.5142865862,14,4700,UTA@BKN,UTA,,,,,232.694453612,0.0924572384611,103.5,110.0,0.940909090909,20.3967727273,2.3,10.0,0.5,3.6,2.9,1.21,20.3967727273,230.428610587
Carmelo Anthony,OKC,PF,Carmelo,Anthony,33.2692307692,13,6500,OKC@SA,SA,,,,,207.41724032,0.16039761554,99.0,103.1,0.960232783705,32.1753346266,1.5,20.1,0.92,6.2,1.5,0.77,32.1753346266,202.018100991
Cody Zeller,CHA,C,Cody,Zeller,20.1666666667,9,3700,CHA@CHI,CHI,,,,,263.233425242,0.0766113446579,102.0,103.7,0.983606557377,20.1040983607,1.1,8.1,1.33,6.9,0.3,0.22,20.1040983607,184.042076079
Cory Joseph,IND,PG,Cory,Joseph,19.6266662598,15,4300,DET@IND,DET,,,,,245.871457778,0.0798249070352,105.5,108.5,0.972350230415,19.2510138249,1.3,8.8,0.4,2.5,3.2,1.07,19.2510138249,223.364859592
Courtney Lee,NY,SF,Courtney,Lee,22.9357147217,14,4800,NY@TOR,TOR,,,,,265.007634215,0.0865473735866,105.25,106.0,0.992924528302,22.8959433962,1.4,11.6,0.0,3.8,2.8,1.36,22.8959433962,209.644124155
Damian Lillard,POR,PG,Damian,Lillard,43.6285705566,14,9500,POR@SAC,SAC,,,,,226.508845723,0.192613098254,103.0,104.6,0.984703632887,42.9936711281,3.1,24.5,0.5,6.0,6.6,1.21,42.9936711281,220.962754534
Danny Green,SA,SG,Danny,Green,21.6999991281,14,4700,OKC@SA,OKC,,,,,245.169696268,0.0885101195554,99.0,101.5,0.975369458128,21.315270936,1.9,10.6,0.93,3.5,1.9,1.07,21.315270936,220.499191125
Dante Cunningham,NO,SF,Dante,Cunningham,13.7799997965,15,3400,NO@DEN,DEN,,,,,238.641148122,0.0577436033349,108.0,108.0,1.0,13.79,0.3,5.3,0.27,3.7,0.9,0.73,13.79,246.555474982
Darren Collison,IND,PG,Darren,Collison,27.9933329264,15,5600,DET@IND,DET,,,,,245.871457778,0.113853528097,105.5,108.5,0.972350230415,27.2594470046,1.5,12.8,0.07,2.8,6.6,1.07,27.2594470046,205.433367707
De'Aaron Fox,SAC,PG,De'Aaron,Fox,22.3785705566,14,4900,POR@SAC,POR,,,,,216.209448404,0.103504128621,96.0,93.6,1.02564102564,22.8684615385,2.0,11.1,0.07,3.1,4.9,0.64,22.8684615385,214.268895691
DeAndre Jordan,LAC,C,DeAndre,Jordan,29.8692298302,13,7000,LAC@CLE,CLE,,,,,185.437435986,0.161074432848,108.0,107.2,1.00746268657,30.0998507463,1.5,9.5,1.0,13.4,0.8,0.54,30.0998507463,232.559292702
DeMar DeRozan,TOR,SG,DeMar,DeRozan,37.4214303153,14,8000,NY@TOR,NY,,,,,208.770890494,0.179246398895,113.25,111.4,1.01660682226,38.2148204668,3.1,24.9,0.14,4.1,4.4,1.29,38.2148204668,209.342864948
DeMarcus Cousins,NO,C,DeMarcus,Cousins,57.8,15,11600,NO@DEN,DEN,,,,,238.641148122,0.242204667782,108.0,108.0,1.0,57.79,5.4,28.0,1.6,13.7,5.7,1.8,57.79,200.726769337
DeMarre Carroll,BKN,SF,DeMarre,Carroll,27.6538461538,13,6000,UTA@BKN,UTA,,,,,232.694453612,0.118841879231,103.5,110.0,0.940909090909,26.1555,1.2,13.2,0.46,6.9,1.3,1.31,26.1555,229.397258703
Dejounte Murray,SA,PG,Dejounte,Murray,20.2933329264,15,3900,OKC@SA,OKC,,,,,245.169696268,0.0827725988787,99.0,101.5,0.975369458128,19.8420197044,1.9,8.2,0.2,5.5,2.8,0.87,19.8420197044,196.552571668
Dennis Smith Jr.,DAL,PG,Dennis,Smith Jr.,27.6846149151,13,6900,MIN@DAL,MIN,,,,,202.587226742,0.136655283555,103.0,98.9,1.04145601618,29.2362082912,3.5,15.8,0.31,4.2,4.7,0.92,29.2362082912,236.008716701
Denzel Valentine,CHI,SF,Denzel,Valentine,20.7249997457,12,5000,CHA@CHI,CHA,,,,,227.81729755,0.0909720199851,96.0,92.4,1.03896103896,21.4948051948,1.1,10.1,0.08,4.3,2.4,0.92,21.4948051948,232.614343544
Dion Waiters,MIA,SG,Dion,Waiters,25.6000010173,12,5900,MIA@WAS,WAS,,,,,254.00050643,0.100787204628,101.5,101.3,1.00197433366,25.7102467917,3.3,16.6,0.25,3.0,3.5,0.92,25.7102467917,229.480488764
Dirk Nowitzki,DAL,PF,Dirk,Nowitzki,20.2866658529,15,4700,MIN@DAL,MIN,,,,,202.587226742,0.100137931592,103.0,98.9,1.04145601618,21.1922244692,0.9,10.2,0.33,5.3,1.7,0.4,21.1922244692,221.77945533
Domantas Sabonis,IND,PF,Domantas,Sabonis,28.161538931,13,5400,DET@IND,DET,,,,,245.871457778,0.114537649817,105.5,108.5,0.972350230415,27.320921659,2.4,13.3,0.31,9.5,2.8,0.23,27.320921659,197.650725968
Doug McDermott,NY,SF,Doug,McDermott,13.6571426392,14,3200,NY@TOR,TOR,,,,,265.007634215,0.0515349026817,105.25,106.0,0.992924528302,13.5682311321,0.6,7.9,0.29,2.6,1.3,0.14,13.5682311321,235.845038963
Dwayne Bacon,CHA,SF,Dwayne,Bacon,13.9923072228,13,3100,CHA@CHI,CHI,,,,,263.233425242,0.0531555109689,102.0,103.7,0.983606557377,13.698852459,0.8,5.8,0.15,4.4,1.2,0.46,13.698852459,226.296327322
